Év,Negyedév,"Kiigazítás nélküli, nyers adatok (előző év azonos időszaka=100,0%)","Naptárhatás kiszűrésével (előző év azonos időszaka=100,0%)","Szezonálisan és naptárhatással kiigazított és kiegyensúlyozott adatok (előző év azonos időszaka=100,0%)","Szezonálisan és naptárhatással kiigazított és kiegyensúlyozott adatok (előző negyedév=100,0%)"
1996.0,I.,"99,7","100,1","100,2","100,9"
1996.0,II.,"99,6","99,6","99,6","99,2"
1996.0,III.,"99,6","99,5","99,5","99,8"
1996.0,IV.,"101,3","101,1","101,1","101,3"
1997.0,I.,"100,7","100,8","101,1","100,9"
1997.0,II.,"103,2","103,0","103,0","101,0"
1997.0,III.,"104,1","104,2","104,1","100,9"
1997.0,IV.,"103,7","103,7","103,7","100,8"
1998.0,I.,"103,4","103,2","103,6","100,8"
1998.0,II.,"103,9","104,1","104,1","101,6"
1998.0,III.,"104,4","104,4","104,2","100,9"
1998.0,IV.,"103,7","103,5","103,3","100,0"
1999.0,I.,"102,1","102,3","102,5","100,0"
1999.0,II.,"102,2","102,0","102,1","101,1"
1999.0,III.,"103,1","103,1","103,1","101,9"
1999.0,IV.,"104,8","104,4","104,2","101,1"
2000.0,I.,"105,3","105,1","105,1","100,9"
2000.0,II.,"104,8","105,0","104,9","101,0"
2000.0,III.,"103,9","103,9","103,9","100,9"
2000.0,IV.,"103,8","104,7","104,7","101,9"
2001.0,I.,"104,5","104,5","104,5","100,7"
2001.0,II.,"104,5","104,5","104,3","100,8"
2001.0,III.,"104,1","104,3","104,3","100,9"
2001.0,IV.,"103,3","103,1","103,2","100,7"
2002.0,I.,"104,5","104,7","104,8","102,3"
2002.0,II.,"104,6","104,6","104,5","100,5"
2002.0,III.,"104,8","104,6","104,5","100,9"
2002.0,IV.,"105,0","105,0","105,0","101,2"
2003.0,I.,"103,3","103,1","103,3","100,7"
2003.0,II.,"104,0","104,0","103,9","101,1"
2003.0,III.,"104,3","104,3","104,2","101,2"
2003.0,IV.,"104,2","104,0","104,0","101,0"
2004.0,I.,"104,6","104,7","105,0","101,7"
2004.0,II.,"105,3","105,1","105,0","101,1"
2004.0,III.,"105,1","105,1","105,0","101,2"
2004.0,IV.,"104,8","104,4","104,3","100,4"
2005.0,I.,"103,3","103,3","103,6","101,0"
2005.0,II.,"104,8","104,6","104,6","102,0"
2005.0,III.,"104,3","104,1","104,1","100,7"
2005.0,IV.,"104,7","105,1","104,9","101,1"
2006.0,I.,"104,9","104,5","104,7","100,7"
2006.0,II.,"103,6","104,0","104,1","101,5"
2006.0,III.,"103,8","104,0","103,9","100,5"
2006.0,IV.,"103,6","104,0","103,8","101,0"
2007.0,I.,"101,6","101,8","101,7","98,8"
2007.0,II.,"100,1","100,1","100,2","99,9"
2007.0,III.,"100,0","100,2","100,1","100,5"
2007.0,IV.,"99,8","99,6","99,5","100,3"
2008.0,I.,"101,8","102,0","101,8","101,0"
2008.0,II.,"102,6","102,4","102,4","100,5"
2008.0,III.,"101,9","101,7","101,6","99,8"
2008.0,IV.,"97,9","97,7","97,7","96,5"
2009.0,I.,"92,8","92,6","92,6","95,8"
2009.0,II.,"91,9","92,1","92,2","100,1"
2009.0,III.,"92,4","92,4","92,4","99,9"
2009.0,IV.,"95,8","95,7","95,7","99,9"
2010.0,I.,"99,8","100,0","100,1","100,1"
2010.0,II.,"100,8","100,6","100,8","100,8"
2010.0,III.,"101,6","101,6","101,6","100,8"
2010.0,IV.,"101,9","101,7","101,6","99,9"
2011.0,I.,"102,9","102,7","102,7","101,2"
2011.0,II.,"101,5","101,5","101,7","99,8"
2011.0,III.,"101,3","101,1","101,0","100,1"
2011.0,IV.,"102,1","102,5","102,3","101,1"
2012.0,I.,"99,8","99,8","99,7","98,6"
2012.0,II.,"98,7","98,9","98,9","99,1"
2012.0,III.,"98,8","99,2","99,1","100,2"
2012.0,IV.,"97,5","97,7","97,7","99,8"
2013.0,I.,"99,4","99,6","99,7","100,6"
2013.0,II.,"101,5","101,5","101,6","100,9"
2013.0,III.,"103,1","102,9","102,9","101,6"
2013.0,IV.,"103,8","103,8","104,0","100,8"
2014.0,I.,"104,5","104,3","104,3","101,0"
2014.0,II.,"104,8","104,8","104,7","101,3"
2014.0,III.,"104,1","104,1","104,1","101,0"
2014.0,IV.,"104,0","103,8","103,8","100,5"
2015.0,I.,"104,5","104,5","104,5","101,6"
2015.0,II.,"103,4","103,4","103,3","100,1"
2015.0,III.,"103,0","103,0","103,1","100,8"
